nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,test_nloglik
40,2,0.25,0,0.5,1,0.5,0.4485221395105116
50,2,0.25,0,0.5,1,0.5,0.4480672665699965
60,2,0.25,0,0.5,1,0.5,0.4480036419509496
70,2,0.25,0,0.5,1,0.5,0.447960592035583
80,2,0.25,0,0.5,1,0.5,0.4479293672664121
90,2,0.25,0,0.5,1,0.5,0.4478124166139447
100,2,0.25,0,0.5,1,0.5,0.4481306251217811
10,3,0.25,0,0.5,1,0.5,0.4736477477180755
20,3,0.25,0,0.5,1,0.5,0.4512372649916985
30,3,0.25,0,0.5,1,0.5,0.4487324702057202
40,3,0.25,0,0.5,1,0.5,0.44810659098957367
50,3,0.25,0,0.5,1,0.5,0.4478272464199097
60,3,0.25,0,0.5,1,0.5,0.4479332925892106
70,3,0.25,0,0.5,1,0.5,0.44790550761686315
80,3,0.25,0,0.5,1,0.5,0.44795067550256873
90,3,0.25,0,0.5,1,0.5,0.4480801219135266
100,3,0.25,0,0.5,1,0.5,0.4480653229043182
10,4,0.25,0,0.5,1,0.5,0.4735447350958414
20,4,0.25,0,0.5,1,0.5,0.4509798721340656
30,4,0.25,0,0.5,1,0.5,0.44838774962236877
40,4,0.25,0,0.5,1,0.5,0.44815865854907244
50,4,0.25,0,0.5,1,0.5,0.4476876696445106
60,4,0.25,0,0.5,1,0.5,0.447717598177759
70,4,0.25,0,0.5,1,0.5,0.44819626436912935
80,4,0.25,0,0.5,1,0.5,0.4487852458498433
90,4,0.25,0,0.5,1,0.5,0.44839856979174286
100,4,0.25,0,0.5,1,0.5,0.44840140313282323
10,5,0.25,0,0.5,1,0.5,0.4727083711659821
20,5,0.25,0,0.5,1,0.5,0.4505930116087871
30,5,0.25,0,0.5,1,0.5,0.44852694965579654
40,5,0.25,0,0.5,1,0.5,0.44826932127544744
50,5,0.25,0,0.5,1,0.5,0.4476078847200699
60,5,0.25,0,0.5,1,0.5,0.44827809711928157
70,5,0.25,0,0.5,1,0.5,0.44868036970069136
80,5,0.25,0,0.5,1,0.5,0.4494782851687003
90,5,0.25,0,0.5,1,0.5,0.44963935952859896
100,5,0.25,0,0.5,1,0.5,0.4498008182361125
10,6,0.25,0,0.5,1,0.5,0.4733856810566256
20,6,0.25,0,0.5,1,0.5,0.4507978323774307
30,6,0.25,0,0.5,1,0.5,0.4488229388048466
40,6,0.25,0,0.5,1,0.5,0.44879178416211607
50,6,0.25,0,0.5,1,0.5,0.448733662600711
60,6,0.25,0,0.5,1,0.5,0.44927270857807633
70,6,0.25,0,0.5,1,0.5,0.44880588206587985
80,6,0.25,0,0.5,1,0.5,0.4504475713531304
90,6,0.25,0,0.5,1,0.5,0.4509106062537363
100,6,0.25,0,0.5,1,0.5,0.45184032686869346
10,7,0.25,0,0.5,1,0.5,0.4731754289282901
20,7,0.25,0,0.5,1,0.5,0.45062672224102696
30,7,0.25,0,0.5,1,0.5,0.449428442310265
40,7,0.25,0,0.5,1,0.5,0.4487673420049467
50,7,0.25,0,0.5,1,0.5,0.44959184031337385
60,7,0.25,0,0.5,1,0.5,0.4499424658311357
70,7,0.25,0,0.5,1,0.5,0.4499465033688802
80,7,0.25,0,0.5,1,0.5,0.4510640613367673
90,7,0.25,0,0.5,1,0.5,0.453817139515623
100,7,0.25,0,0.5,1,0.5,0.4534246097632556
10,8,0.25,0,0.5,1,0.5,0.4731237693506239
20,8,0.25,0,0.5,1,0.5,0.45134296440326893
30,8,0.25,0,0.5,1,0.5,0.44948001365259294
40,8,0.25,0,0.5,1,0.5,0.44936246838781535
50,8,0.25,0,0.5,1,0.5,0.4513327944165201
60,8,0.25,0,0.5,1,0.5,0.4530237496245937
70,8,0.25,0,0.5,1,0.5,0.4528675613794953
80,8,0.25,0,0.5,1,0.5,0.4545020453911889
90,8,0.25,0,0.5,1,0.5,0.4565990158284214
100,8,0.25,0,0.5,1,0.5,0.45594534534115283
10,1,0.3,0,0.5,1,0.5,0.4667919654880053
20,1,0.3,0,0.5,1,0.5,0.45181913607893875
30,1,0.3,0,0.5,1,0.5,0.449654268996987
40,1,0.3,0,0.5,1,0.5,0.44922186805531966
50,1,0.3,0,0.5,1,0.5,0.44876630646593524
60,1,0.3,0,0.5,1,0.5,0.4485202372882864
70,1,0.3,0,0.5,1,0.5,0.44818255584512207
80,1,0.3,0,0.5,1,0.5,0.44809307616970245
90,1,0.3,0,0.5,1,0.5,0.4482129519817122
100,1,0.3,0,0.5,1,0.5,0.44797360113232143
10,2,0.3,0,0.5,1,0.5,0.46540244459168667
20,2,0.3,0,0.5,1,0.5,0.45037093054339755
30,2,0.3,0,0.5,1,0.5,0.4488104440855732
40,2,0.3,0,0.5,1,0.5,0.4483723645670339
50,2,0.3,0,0.5,1,0.5,0.44818434379720884
60,2,0.3,0,0.5,1,0.5,0.4478280288596467
70,2,0.3,0,0.5,1,0.5,0.44777063086039365
80,2,0.3,0,0.5,1,0.5,0.4477353557753451
90,2,0.3,0,0.5,1,0.5,0.44781136513885367
100,2,0.3,0,0.5,1,0.5,0.4476759428781489
10,3,0.3,0,0.5,1,0.5,0.4649919106653128
20,3,0.3,0,0.5,1,0.5,0.4493168071617171
30,3,0.3,0,0.5,1,0.5,0.44793957089568315
40,3,0.3,0,0.5,1,0.5,0.44795431934983
50,3,0.3,0,0.5,1,0.5,0.44816026102620166
60,3,0.3,0,0.5,1,0.5,0.4478144945799284
70,3,0.3,0,0.5,1,0.5,0.4483220272393051
80,3,0.3,0,0.5,1,0.5,0.4482354619474375
90,3,0.3,0,0.5,1,0.5,0.4483987532636128
100,3,0.3,0,0.5,1,0.5,0.4488186379313571
10,4,0.3,0,0.5,1,0.5,0.46442138842450403
20,4,0.3,0,0.5,1,0.5,0.44940272510985174
30,4,0.3,0,0.5,1,0.5,0.44807232908041017
40,4,0.3,0,0.5,1,0.5,0.448289297980044
50,4,0.3,0,0.5,1,0.5,0.4486267674728971
60,4,0.3,0,0.5,1,0.5,0.44830365355036567
70,4,0.3,0,0.5,1,0.5,0.44884949328111884
80,4,0.3,0,0.5,1,0.5,0.44843513290122655
90,4,0.3,0,0.5,1,0.5,0.44862061772174755
100,4,0.3,0,0.5,1,0.5,0.44892129744867193
10,5,0.3,0,0.5,1,0.5,0.4642170774582948
20,5,0.3,0,0.5,1,0.5,0.4492505603487151
30,5,0.3,0,0.5,1,0.5,0.44827033039026537
40,5,0.3,0,0.5,1,0.5,0.44808327014842164
50,5,0.3,0,0.5,1,0.5,0.4482498136312884
60,5,0.3,0,0.5,1,0.5,0.4488682562500454
70,5,0.3,0,0.5,1,0.5,0.44963971248060475
80,5,0.3,0,0.5,1,0.5,0.4502601726602545
90,5,0.3,0,0.5,1,0.5,0.45138248146882204
100,5,0.3,0,0.5,1,0.5,0.4505000556773791
10,6,0.3,0,0.5,1,0.5,0.4643382132786529
20,6,0.3,0,0.5,1,0.5,0.4496062882289937
30,6,0.3,0,0.5,1,0.5,0.4486408630223964
40,6,0.3,0,0.5,1,0.5,0.4493582399258725
50,6,0.3,0,0.5,1,0.5,0.4502444821522783
60,6,0.3,0,0.5,1,0.5,0.45036347374292157
70,6,0.3,0,0.5,1,0.5,0.45026024006286575
80,6,0.3,0,0.5,1,0.5,0.4509702225263681
